"UNIT CODE","UNIT NAME","ORGAN CODE","ORGAN NAME","SUPERIOR ORGAN CODE","SUPERIOR ORGAN NAME"
125370,EPTA ITACOATIARA - TAIC                      ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125375,EPTA MANICORÉ - TAMY                         ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125380,EPTA TARAUACÁ - TATK                         ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125385,EPTA SãO GABRIEL DA CACHOEIRA - TAUA         ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125390,EPTA VILHENA - TAVH                          ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125395,EPTA IAUARETÊ - TAYA                         ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125396,EPTA ILHÉUS - TAIL                           ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125397,EPTA GOIÂNIA - TAGO                          ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125398,EPTA PALMAS                                  ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125399,EPTA PONTA PORã                              ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125400,EPTA JOAO PESSOA                             ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125401,EPTA TERESINA                                ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125402,EPTA PETROLINA                               ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125403,EPTA CAMPINA GRANDE                          ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
135482,UA/JUIZ DE FORA                              ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135483,UNIDADE ARMAZENADORA VARGINHA                ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135484,UA/MONTEIRO                                  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135485,UC/MONTEIRO                                  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135486,UA/CARAPICUIBA                               ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
125404,EPTA PARNAIBA                                ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125405,EPTA JUAZEIRO DO NORTE                       ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125406,EPTA MACAPA                                  ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125407,EPTA SANTARÉM                                ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125408,EPTA MARABÁ                                  ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125409,EPTA BELEM                                   ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125411,EPTA CARAJAS                                 ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125412,EPTA CRUZEIRO DO SUL                         ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125414,EPTA RIO DE JANEIRO/SANTOS DUMONT            ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125415,EPTA JACAREPAGUÁ                             ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125416,EPTA CAMPOS                                  ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125417,EPTA VITORIA                                 ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125418,EPTA BELO HORIZONTE/PAMPULHA                 ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125419,EPTA UBERLANDIA                              ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125420,EPTA UBERABA                                 ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125421,EPTA BELO HORIZONTE/CARLOS PRATES            ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125422,EPTA MONTES CLAROS                           ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125423,EPTA LONDRINA                                ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125424,EPTA JOINVILLE                               ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125425,EPTA BAGE                                    ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125426,EPTA CRICIUMA                                ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125427,EPTA SAO PAULO/GUARULHOS                     ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125428,EPTA CAMPINAS                                ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
125429,EPTA NAVEGANTES                              ,20213,EMPRESA BRAS.DE INFRA-ESTRUTURA AEROPORTUÁRIA,20000,PRESIDENCIA DA REPUBLICA                     
135487,UNIDADE ARMAZENADORA DE GARCA - SP           ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135488,UA/CAICO                                     ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135489,UC/CAICO                                     ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135490,UC/ICO                                       ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135491,UA/PERDOES                                   ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135492,UA/CAMPOS ALTOS                              ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135493,UA/AIMORES                                   ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135494,UA/MONTES CLAROS                             ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135495,SUPERINTENDENCIA DE MODERNIZACAO EMPRESARIAL ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135496,SUPERINTENDENCIA DE INFORMACAO DO AGRONEGOCIO,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135497,"GERENCIA DE LEVANTAMENTO, AVALIACAO DE SAFRAS",22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135498,GERENCIA DE LEVANTAMENTO E AVALIACAO DE SAFRA,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135499,GERENCIA DE INFORMACOES TECNICAS             ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135500,GERENCIA DE CUSTOS DE PRODUCAO               ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135501,GERENCIA DE INFORMACOES DE ESTOQUES PRIVADOS ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135502,GERENCIA DE ALIMENTOS BASICOS                ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135503,GERENC.DE FIBRAS E PROD.ESPECIAIS E REGIONAIS,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135504,GERENCIA DE OLEAGNOSA E PRODUTOS PECUARIOS   ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135505,SUPERINTENDENCIA DE FISCALIZACAO DE ESTOQUES ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135506,SUPERINTENDENCIA DE ARMAZ.E MOVIMENT.ESTOQUES,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135507,GERENCIA DE FISCAL.DOS ESTOQ.ESP.AGRONEGOCIO ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135508,GERENCIA DE VISTORIA DOS ESTOQUES PRIVADOS   ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135509,GERENCIA DE CLASSIF.E CONTROLE DE QUALIDADE  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135510,GERENCIA DE CADASTRO E CREDENC.DE ARMAZENS   ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135511,GERENCIA DE PROGRAMAS INSTITUCIONAIS         ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135512,GERENCIA DE SERVICOS GERAIS                  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135135,UNID.COL.TAUA                                ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135136,UNID.CENT.MARCO                              ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135137,UNID.DE COMERCIALIZACAO DE CURRAIS NOVOS     ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135138,UNID.COL.MOSSORO                             ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135305,CONAB-SEDE SUPERINT.REGIONAL/RJ              ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135315,CONAB-SUPERINTENDENCIA REGIONAL/RS           ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135325,CONAB-SEDE SUREG/SP                          ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135337,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135345,CONAB/SUPERINTENDêNCIA REGIONAL DO PIAUI     ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135392,UA/ALENQUER                                  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135393,UA/SANTAREM                                  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135394,UA PALMEIRA                                  ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135412,UC/ITABAIANA                                 ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135413,UA POCO VERDE                                ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
135414,UA NOSSA SENHORA DA GLORIA                   ,22211,COMPANHIA NACIONAL DE ABASTECIMENTO          ,22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO "
